,k = 1,k = 2,k = 3,k = 4,k = 5,k = 6,k = 7,k = 8,k = 9,k = 10,k = 11,k = 12,k = 13,k = 14,k = 15
MSE,160378.41691635567,155026.94516537216,163658.790773146,245606.09124601123,324940.7394162503,491435.6568254553,692037.9853661237,596214.9261507913,548814.6660798108,498597.3188552557,550270.5468154926,506409.86105114495,450771.16248582816,342789.16857001104,229297.3169967596
MSE principal nan columns,182.17003502218668,40.84006114304241,21.804503079344745,14.035730893629959,14.532439698388812,9.149938720406029,8.202293711592054,8.609428177067619,7.093426269853906,8.75961072984486,7.777943931752682,1.7097604555815895,1.8137825836492771,0.988432879967085,1.0826666103805633
